id,filtered_words_str,features_str,label_index
R129,expect network consider figure type white. firm little east control type on. price none carry executive painting. experts discuss ongoing developments election.,"(10000,[312,454,1208,1590,1738,3526,3556,3614,3691,4110,4506,4687,5611,6576,6877,7138,8894,9152,9462,9831,9966],[3.914021008090819,3.6516567436233283,2.7200985396183848,3.7316994512968646,4.137164559405029,8.541391904059102,2.8844015909096608,0.691153161953081,4.270695952029551,4.42484663185681,0.691153161953081,0.691153161953081,5.523458920524919,4.607168188650764,5.117993812416755,5.523458920524919,4.42484663185681,4.42484663185681,0.691153161953081,4.137164559405029,3.914021008090819])",1.0
R227,health amount number perhaps imagine production. tough leg magazine without baby risk continue. miss forward watch water what. experts discuss ongoing developments climate change.,"(10000,[821,1071,1259,1348,1640,2059,2589,2708,3614,4043,4506,4687,5301,5447,6221,6290,7222,8363,8411,8413,8519,8794,8805,9462],[2.849310271098391,3.577548771469606,4.42484663185681,4.42484663185681,4.830311739964974,2.6902455764687034,4.019381523748645,3.2721671219184243,0.691153161953081,3.6516567436233283,0.691153161953081,0.691153161953081,4.019381523748645,3.577548771469606,4.830311739964974,4.270695952029551,4.137164559405029,4.830311739964974,3.2721671219184243,3.4440173788450834,4.270695952029551,4.270695952029551,4.42484663185681,0.691153161953081])",1.0
F231,process garden turn art building citizen sure. — shocking claims aliens surface internet.,"(10000,[8,503,650,1173,3886,5850,5852,5936,7281,7854,7936,8040,8338],[3.8187108282864943,0.691153161953081,2.958509563063383,4.830311739964974,4.42484663185681,0.691153161953081,4.019381523748645,4.42484663185681,0.6792718340663283,4.607168188650764,0.691153161953081,4.019381523748645,0.691153161953081])",0.0
R066,notice hospital sure strong fight. ask seat spend central other. small firm run bar. experts discuss ongoing developments policy.,"(10000,[47,222,266,353,1525,1811,1821,3507,3614,4506,4687,4930,6355,6944,8894,8928,9231,9462],[3.6516567436233283,4.137164559405029,4.42484663185681,4.42484663185681,4.137164559405029,5.117993812416755,4.019381523748645,4.137164559405029,0.691153161953081,0.691153161953081,1.382306323906162,4.019381523748645,4.019381523748645,2.8154087194227095,4.42484663185681,4.607168188650764,4.607168188650764,0.691153161953081])",1.0
F095,game since authority store. thus test quickly game expert become score. senior together contain. — shocking claims mind control surface internet.,"(10000,[503,914,1176,1208,3184,3292,3391,4144,5684,5850,6287,6586,7090,7195,7281,7443,7936,8312,8338,8975],[0.691153161953081,4.607168188650764,4.270695952029551,2.7200985396183848,2.849310271098391,4.830311739964974,4.830311739964974,4.607168188650764,4.270695952029551,0.691153161953081,4.42484663185681,4.137164559405029,4.137164559405029,5.117993812416755,0.6792718340663283,5.117993812416755,0.691153161953081,4.019381523748645,0.691153161953081,8.84969326371362])",0.0
R174,term fire success case individual. travel step decision health. experts discuss ongoing developments policy.,"(10000,[1558,2188,2193,3188,3614,4506,4687,5191,6219,6342,6944,8681,9462,9828],[4.270695952029551,3.914021008090819,3.8187108282864943,5.523458920524919,0.691153161953081,0.691153161953081,0.691153161953081,3.6516567436233283,3.0811118851557153,3.383392757028649,2.8154087194227095,5.117993812416755,0.691153161953081,4.270695952029551])",1.0
R201,charge level crime public perhaps. account policy start turn doctor. certainly scene song anyone. experts discuss ongoing developments public health.,"(10000,[673,731,1499,1770,2996,3614,3886,4142,4506,4687,5441,5844,5931,6219,6812,7229,7350,9187,9462],[3.914021008090819,4.607168188650764,3.914021008090819,5.565237793199437,3.8187108282864943,0.691153161953081,4.42484663185681,4.137164559405029,0.691153161953081,0.691153161953081,5.117993812416755,3.8187108282864943,5.117993812416755,3.0811118851557153,4.42484663185681,5.117993812416755,4.137164559405029,4.42484663185681,0.691153161953081])",1.0
R072,high hear hour fine paper military. nation sort any. method option although computer. experts discuss ongoing developments education.,"(10000,[527,2116,3614,4014,4439,4506,4687,4842,5047,5547,5720,6015,6431,7393,7779,8690,9462,9613],[4.019381523748645,4.019381523748645,0.691153161953081,4.270695952029551,4.830311739964974,0.691153161953081,0.691153161953081,4.42484663185681,2.6330871626287546,4.830311739964974,4.137164559405029,4.270695952029551,3.7316994512968646,4.830311739964974,3.383392757028649,3.8187108282864943,0.691153161953081,4.019381523748645])",1.0
R064,appear image guess thank. reason small draw military political. mrs interesting space artist western stock as. day third condition. experts discuss ongoing developments research.,"(10000,[222,524,793,798,2603,2944,3614,3634,4506,4687,5303,5877,6035,7066,7723,8167,8182,8660,8771,8931,9133,9188,9462,9751],[4.137164559405029,4.019381523748645,4.019381523748645,4.607168188650764,4.830311739964974,4.42484663185681,0.691153161953081,4.607168188650764,0.691153161953081,0.691153161953081,5.523458920524919,4.607168188650764,3.383392757028649,2.849310271098391,5.117993812416755,3.914021008090819,4.42484663185681,3.914021008090819,4.830311739964974,4.019381523748645,3.914021008090819,4.137164559405029,0.691153161953081,3.914021008090819])",1.0
F037,million part finish actually yes. recently word newspaper any. — shocking claims miracle drug surface internet.,"(10000,[503,1256,2034,2601,3238,3519,5547,5850,6447,6578,7281,7860,7936,8338,8651,8740],[0.691153161953081,3.125563647726549,4.137164559405029,4.830311739964974,4.019381523748645,4.137164559405029,4.830311739964974,0.691153161953081,4.137164559405029,3.914021008090819,0.6792718340663283,3.0385522707369192,0.691153161953081,0.691153161953081,4.137164559405029,4.270695952029551])",0.0
